model_alias,protocol,source_dataset,target_dataset,method,tier,training_budget,calibration_scope,diagnostic_only,selected_parameter,metric_status,failure_reason,negative_budget_ratio,negative_budget_seed,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_encoder_train_correct,num_encoder_train_hard_hallucination,num_encoder_train_hard_hallucination_available,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,MIND-param,tierA,50pct_hard_negatives,source_calibration,False,single_vmf,passed,,0.5,20260508,0.7665102151878429,0.7054681508588934,0.821860665741111,0.7925577234386981,0.7475932288567714,0.8340236897272632,0.7672560724463022,0.22164948453608246,0.7727272727272727,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,logistic(z),tierA,50pct_hard_negatives,source_calibration,False,C=0.1,passed,,0.5,20260508,0.757525068817468,0.7015529584857103,0.8114069567245913,0.7737283803356906,0.7283506980596426,0.816866040108454,0.6913721221114277,0.0,0.8016528925619835,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,final-hidden linear probe,tierA,same_constraint_linear_or_cached,source_calibration,False,C=10.0,passed,,0.5,20260508,0.6899842933240321,0.6357211411340198,0.7482561799508864,0.647716622646332,0.6067681702796937,0.6921090002878846,0.5545836368655618,0.0,1.0,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,output-confidence,tierA,same_constraint_linear_or_cached,source_calibration,False,negative_top2_margin,passed,,0.5,20260508,0.49305225068195896,0.42824958507864014,0.5624062784490754,0.6163840845190424,0.5636654057444884,0.6651625352256119,0.49683825912720025,0.0,0.7479338842975206,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,HALP-lite,tierA,same_constraint_linear_or_cached,source_calibration,False,C=0.1,passed,,0.5,20260508,0.6996582044474622,0.644914126839368,0.7539347576492247,0.7015101814773792,0.6532034285536125,0.7488539999207113,0.6172954558741479,0.0,1.0,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,MIND-main,tierA,50pct_hard_negatives,oracle_target_calibration,True,rho=0.03231306844530999,passed,,0.5,20260508,0.6527908045404219,0.5812549804995535,0.7141095457363122,0.6720307574337564,0.6178323215649437,0.7196056598577862,0.6359476001876894,0.0,0.8099173553719008,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,MIND-param,tierA,50pct_hard_negatives,oracle_target_calibration,True,single_vmf,passed,,0.5,20260508,0.7665102151878429,0.7054681508588934,0.821860665741111,0.7925577234386981,0.7475932288567714,0.8340236897272632,0.7672560724463022,0.22164948453608246,0.7727272727272727,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,logistic(z),tierA,50pct_hard_negatives,oracle_target_calibration,True,C=10.0,passed,,0.5,20260508,0.7664923878055524,0.7194557633897002,0.8107693648390442,0.7303719008264464,0.689051391397325,0.7711045316912488,0.623002638222108,0.0,1.0,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,final-hidden linear probe,tierA,same_constraint_linear_or_cached,oracle_target_calibration,True,C=0.1,passed,,0.5,20260508,0.6913862421975848,0.6246542358986447,0.7607569984441802,0.7335030246229872,0.6853208977751368,0.7791760391888524,0.6563242234620619,0.0,1.0,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,output-confidence,tierA,same_constraint_linear_or_cached,oracle_target_calibration,True,negative_top2_margin,passed,,0.5,20260508,0.49305225068195896,0.42824958507864014,0.5624062784490754,0.6163840845190424,0.5636654057444884,0.6651625352256119,0.49683825912720025,0.0,0.7479338842975206,436,242,194,4014,73,147,7,0
