row_type,model_alias,model_name,objective,dataset_family,readout,split,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,k,scale_id,num_bank_correct,bank_size,num_eval,all_k_evaluated,metric_status,failure_reason,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,threshold,num_samples
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,repope,Diag-kNN-scale-grid,cal,cal,cal,pooled,0.5,20260507,2,k=2,1545,1545,799,True,passed,,0.9699624530663329,0.5,0.0,0.0,0.0,0.8974193548387097,0.34091125132181377,0.3508090196522333,0.25,0.3109677419354839,0.5,799.0
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,repope,Diag-kNN-scale-grid,cal,cal,cal,pooled,0.5,20260507,4,k=4,1545,1545,799,True,passed,,0.9699624530663329,0.5,0.0,0.0,0.0,0.9213978494623657,0.34157622774826574,0.3515684740648791,0.20833333333333334,0.17935483870967742,0.5,799.0
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,repope,Diag-kNN-scale-grid,cal,cal,cal,pooled,0.5,20260507,8,k=8,1545,1545,799,True,passed,,0.9699624530663329,0.5,0.0,0.0,0.0,0.9479569892473119,0.3985825935097347,0.41083881099035197,0.20833333333333334,0.16903225806451613,0.5,799.0
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,repope,Diag-kNN-scale-grid,cal,cal,cal,pooled,0.5,20260507,16,k=16,1545,1545,799,True,passed,,0.9699624530663329,0.5,0.0,0.0,0.0,0.953763440860215,0.5197609767670455,0.5303906727739154,0.375,0.19225806451612903,0.5,799.0
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,repope,Diag-kNN-scale-grid,cal,cal,cal,pooled,0.5,20260507,32,k=32,1545,1545,799,True,passed,,0.9699624530663329,0.5,0.0,0.0,0.0,0.9659139784946236,0.5668801804809362,0.5804852397891329,0.5,0.15354838709677418,0.5,799.0
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,repope,Diag-kNN-scale-grid,test,test,test,pooled,0.5,20260507,1,k=1,1545,1545,1611,True,passed,,0.9677219118559901,0.5,0.0,0.0,0.0,0.9329328464992352,0.308336859078692,0.3265576044325262,0.19230769230769232,0.17511225144323284,0.5,1611.0
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,repope,Diag-kNN-scale-grid,test,test,test,pooled,0.5,20260507,2,k=2,1545,1545,1611,True,passed,,0.9677219118559901,0.5,0.0,0.0,0.0,0.9330808703804214,0.3017562322940605,0.3198510405283465,0.19230769230769232,0.19114817190506736,0.5,1611.0
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,repope,Diag-kNN-scale-grid,test,test,test,pooled,0.5,20260507,4,k=4,1545,1545,1611,True,passed,,0.9677219118559901,0.5,0.0,0.0,0.0,0.9405190704100261,0.31690664648455363,0.33470126748279827,0.21153846153846154,0.19627966645285438,0.5,1611.0
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,repope,Diag-kNN-scale-grid,test,test,test,pooled,0.5,20260507,8,k=8,1545,1545,1611,True,passed,,0.9677219118559901,0.5,0.0,0.0,0.0,0.9442566734099768,0.348338368304775,0.3625496566252901,0.21153846153846154,0.1892238614496472,0.5,1611.0
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,repope,Diag-kNN-scale-grid,test,test,test,pooled,0.5,20260507,16,k=16,1545,1545,1611,True,passed,,0.9677219118559901,0.5,0.0,0.0,0.0,0.9471801450634035,0.3664571422125087,0.3808478872867866,0.21153846153846154,0.15907633098139834,0.5,1611.0
