model_name,dataset_family,variant,readout,eval_split,eval_scope,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
gemma-4-12b-it,repope,Raw-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.07689241847682748,0.046642271179949193,0.11308509380133738,0.885758491652274,0.8578186482262107,0.9130613267580032,0.0843491847265036,0.0,0.20984455958549222,1182,1158,24,1138,2990,64,44,414
gemma-4-12b-it,repope,Sphere-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.13775143264520923,0.07556763533714773,0.23301909988666966,0.925014392630973,0.8974166877519978,0.9489014586564849,0.1630227337824789,0.16666666666666666,0.21848013816925735,1182,1158,24,1138,2990,64,44,414
qwen3.5-4b,repope,Raw-Static,Diag-KNN,test,pooled,passed,,0.012808963855174169,0.008233254516819994,0.018011761907396662,0.32797277175069134,0.26972929936305734,0.38553363381700867,0.013734746415513163,0.0,0.9463943841735801,1597,1567,30,1548,3936,84,43,0
qwen3.5-4b,repope,Sphere-Static,Diag-KNN,test,pooled,passed,,0.017331857643757616,0.011108368866103021,0.02477149856922875,0.5094873431184854,0.4414904017942757,0.5717047943702399,0.018819335886605375,0.0,0.8679004467134652,1597,1567,30,1548,3936,84,43,0
qwen3.5-4b,repope,Raw-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.0667352215964796,0.04235530484761377,0.10060945626368195,0.8683471601786853,0.8349082952146376,0.9009051446556157,0.07320513174476288,0.0,0.2935545628589662,1597,1567,30,1548,3936,84,43,0
qwen3.5-4b,repope,Sphere-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.07177127530545307,0.04497507304395064,0.10553200852818907,0.864220378642842,0.8186843854132385,0.9054050740574061,0.07793775045349312,0.0,0.43139757498404596,1597,1567,30,1548,3936,84,43,0
qwen3.5-4b,repope,Raw-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.07240062369868944,0.04750095260027623,0.1065059340240348,0.8885556264624548,0.8672899769958968,0.9103405406415601,0.07883973042103967,0.0,0.19591576260370133,1597,1567,30,1548,3936,84,43,0
qwen3.5-4b,repope,Sphere-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.02831281668008232,0.01891770904202293,0.04019252791307874,0.7041267815358434,0.6656913266711334,0.7402719088524367,0.030450966116632425,0.0,0.4447989789406509,1597,1567,30,1548,3936,84,43,0
qwen3.5-9b,repope,Raw-Static,Diag-KNN,test,pooled,passed,,0.011536679227982287,0.006447958225731964,0.01891044142014416,0.36816508937960046,0.24231096484215017,0.5122833713856557,0.013250116235611072,0.0,0.9570977917981073,1609,1585,24,1554,3999,114,31,0
qwen3.5-9b,repope,Sphere-Static,Diag-KNN,test,pooled,passed,,0.02055628000804561,0.009588715336403032,0.04190528545407086,0.519689800210305,0.3828444952654555,0.6618564754527692,0.02580672935629947,0.0,0.9217665615141956,1609,1585,24,1554,3999,114,31,0
qwen3.5-9b,repope,Raw-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.0636972079550373,0.031018631089571567,0.11890728661710888,0.851682439537329,0.7988053201506592,0.9060933831513028,0.07342520698349643,0.0,0.33690851735015775,1609,1585,24,1554,3999,114,31,0
qwen3.5-9b,repope,Sphere-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.04505951889547791,0.02322006141481668,0.07512055995764062,0.8103575184016825,0.7370718644574895,0.8790821466345611,0.05017448588388147,0.0,0.4668769716088328,1609,1585,24,1554,3999,114,31,0
qwen3.5-9b,repope,Raw-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.022549531730230152,0.013513413425632023,0.0332406886819624,0.7038906414300736,0.6595686434490352,0.7550175655764513,0.024362245458588724,0.0,0.45741324921135645,1609,1585,24,1554,3999,114,31,0
qwen3.5-9b,repope,Sphere-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.038774699214276565,0.02396392650140014,0.05825340843885517,0.8325446898002102,0.8039361107698499,0.861095549782179,0.0417452770558184,0.0,0.23470031545741324,1609,1585,24,1554,3999,114,31,0
phi-4-multimodal-instruct,repope,Raw-Static,Diag-KNN,test,pooled,passed,,0.06659889561539786,0.042125032078273374,0.10376884923993303,0.6776880305699837,0.6176115018127272,0.7327415595525589,0.07227276903633048,0.034482758620689655,0.6058394160583942,1565,1507,58,1496,3916,197,75,0
phi-4-multimodal-instruct,repope,Sphere-Static,Diag-KNN,test,pooled,passed,,0.17304783256962158,0.09054967169105807,0.26628104556484794,0.8183648719767522,0.777940360959871,0.854134091860952,0.18089238369416172,0.05172413793103448,0.45786330457863306,1565,1507,58,1496,3916,197,75,0
phi-4-multimodal-instruct,repope,Raw-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.27460602925779615,0.16646593825468028,0.3892221370257738,0.8946754227398577,0.8619617524457901,0.9219474843323836,0.2823413173347092,0.1724137931034483,0.4306569343065693,1565,1507,58,1496,3916,197,75,0
