model_alias,seed,negative_budget_seed,selected_k,best_k,reference_test_pr_auc,best_test_pr_auc,stability_drop_tolerance,stability_band_min_k,stability_band_max_k,stability_band_size,stability_band_values,metric_status,failure_reason
qwen2.5-vl-7b,20260506,20260506,32,32,0.20240266300821527,0.20240266300821527,0.02,32,32,1,32,passed,
qwen2.5-vl-7b,20260507,20260507,32,2,0.07158411606908292,0.07473590159246049,0.02,1,32,6,1;2;4;8;16;32,passed,
qwen2.5-vl-7b,20260508,20260508,16,1,0.12172995789202556,0.1290414745172579,0.02,1,32,6,1;2;4;8;16;32,passed,
qwen3-vl-8b,20260506,20260506,32,32,0.44569737688913424,0.44569737688913424,0.02,32,32,1,32,passed,
qwen3-vl-8b,20260507,20260507,8,1,0.14361887422876593,0.22481084046482516,0.02,1,8,4,1;2;4;8,passed,
qwen3-vl-8b,20260508,20260508,32,32,0.5890827214192454,0.5890827214192454,0.02,16,32,2,16;32,passed,
qwen3.5-4b,20260506,20260506,32,32,0.24355423799585632,0.24355423799585632,0.02,16,32,2,16;32,passed,
qwen3.5-4b,20260507,20260507,32,16,0.19333063688559277,0.1980482556435838,0.02,8,32,3,8;16;32,passed,
qwen3.5-4b,20260508,20260508,2,32,0.14564599347356072,0.21601172816901548,0.02,1,32,6,1;2;4;8;16;32,passed,
qwen3.5-9b,20260506,20260506,1,32,0.15720403229916083,0.24721072099460317,0.02,1,32,6,1;2;4;8;16;32,passed,
qwen3.5-9b,20260507,20260507,32,32,0.10937874706302211,0.10937874706302211,0.02,32,32,1,32,passed,
qwen3.5-9b,20260508,20260508,32,32,0.2156372775600807,0.2156372775600807,0.02,32,32,1,32,passed,
