model_alias,model_name,dataset_family,encoder_family,objective,readout,support_family,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,selected_K,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,training_dataset_family,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
phi-4-multimodal-instruct,phi-4-multimodal-instruct,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,8,,passed,,0.37067783963852075,0.2525202873550448,0.48804336394663655,0.9069972313113516,0.879243649667958,0.931333517823832,0.3767261362369121,0.25862068965517243,0.29263437292634376,1565,1507,58,1496,repope,3719,197,98,3817,98,75,0
phi-4-multimodal-instruct,phi-4-multimodal-instruct,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260507,8,,passed,,0.2912147157386645,0.1944611250729583,0.43653507525267793,0.887284625769398,0.8520246823644828,0.9207232945037823,0.305900165332012,0.25862068965517243,0.45852687458526875,1565,1507,58,1496,repope,3719,197,98,3817,98,75,0
phi-4-multimodal-instruct,phi-4-multimodal-instruct,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260508,32,,passed,,0.36963087021361385,0.24081977295003346,0.48480518165516495,0.9015513809120655,0.8685987699601903,0.9294314494088084,0.3750026656613825,0.3275862068965517,0.2435301924353019,1565,1507,58,1496,repope,3719,197,98,3817,98,75,0
phi-3.5-vision-instruct,phi-3.5-vision-instruct,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,32,,passed,,0.44253770335914405,0.31818894198987785,0.5586722240114957,0.9292152766366987,0.9046464453827654,0.9503831280618509,0.4489546145961736,0.3275862068965517,0.224642614023145,1527,1469,58,1475,repope,3648,116,58,3706,58,113,0
phi-3.5-vision-instruct,phi-3.5-vision-instruct,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260507,32,,passed,,0.42240596236362116,0.29448153402636756,0.5465149691647524,0.9234407643013074,0.8926659498674916,0.9484449110671936,0.42977282442846365,0.25862068965517243,0.30292716133424097,1527,1469,58,1475,repope,3648,116,58,3706,58,113,0
phi-3.5-vision-instruct,phi-3.5-vision-instruct,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260508,32,,passed,,0.4858545138424978,0.3541285008793342,0.6005579412084373,0.9459871833994506,0.925921065675818,0.9639224613442202,0.4933548132187411,0.29310344827586204,0.1756296800544588,1527,1469,58,1475,repope,3648,116,58,3706,58,113,0
gemma-3-4b-it,gemma-3-4b-it,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,32,,passed,,0.5267333173833945,0.4401675354496845,0.6082639472029503,0.8920991052993805,0.870230156776848,0.91394447091119,0.5297504358691723,0.2866666666666667,0.3441156228492774,1603,1453,150,1438,repope,3507,407,203,3710,203,37,0
gemma-3-4b-it,gemma-3-4b-it,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260507,32,,passed,,0.4914842685289438,0.418808617263843,0.56610270338429,0.886368433126864,0.8669102833929458,0.9064499528455874,0.49343323401526507,0.2,0.2993805918788713,1603,1453,150,1438,repope,3507,407,203,3710,203,37,0
gemma-3-4b-it,gemma-3-4b-it,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260508,32,,passed,,0.5276682985482851,0.44846766426617896,0.6102340671047011,0.9083505391144759,0.889702291104812,0.9259609662027309,0.5310595001395724,0.22666666666666666,0.3131452167928424,1603,1453,150,1438,repope,3507,407,203,3710,203,37,0
molmo-7b-d-0924,molmo-7b-d-0924,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,4,,passed,,0.3636374508243873,0.26343169138121847,0.48210303713063946,0.9274994542676271,0.9098889777963902,0.9453550827422017,0.3729368964387658,0.2361111111111111,0.20235756385068762,1599,1527,72,1513,repope,3786,202,101,3887,101,41,0
molmo-7b-d-0924,molmo-7b-d-0924,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260507,1,,passed,,0.04307358828947867,0.03144242583978225,0.05983619782522417,0.488103034271993,0.425345124307612,0.5538471828956976,0.04530478101792953,0.0,0.9449901768172888,1599,1527,72,1513,repope,3786,202,101,3887,101,41,0
molmo-7b-d-0924,molmo-7b-d-0924,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260508,32,,passed,,0.3344737991458404,0.22800727259329,0.4437853573231804,0.8986120206650658,0.8715801526292865,0.9232795710162821,0.3412736071917706,0.2222222222222222,0.35821872953503603,1599,1527,72,1513,repope,3786,202,101,3887,101,41,0
minicpm-v-4_5,minicpm-v-4_5,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,32,,passed,,0.35705805283801867,0.21104759030784434,0.5173478619492567,0.9574568124825856,0.9418516166176837,0.9726306226781188,0.3725334522421985,0.32432432432432434,0.12242268041237113,1589,1552,37,1530,repope,3835,104,52,3887,52,51,0
minicpm-v-4_5,minicpm-v-4_5,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260507,32,,passed,,0.29405610004853855,0.15309947293616524,0.44050636821387884,0.9331115909724157,0.9070911248520516,0.9557992426100925,0.30688637011144637,0.2702702702702703,0.22036082474226804,1589,1552,37,1530,repope,3835,104,52,3887,52,51,0
minicpm-v-4_5,minicpm-v-4_5,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260508,2,,passed,,0.06881617081924535,0.043330821305954316,0.11000316933005626,0.825734884368905,0.7821387926399852,0.8640069629369234,0.0802041082959485,0.08108108108108109,0.4497422680412371,1589,1552,37,1530,repope,3835,104,52,3887,52,51,0
llava-v1.5-7b,llava-v1.5-7b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,32,,passed,,0.4688048232332789,0.3704859014142053,0.5635793610679116,0.8937185591088752,0.8694224676795849,0.9189658078725074,0.4736098968367566,0.24793388429752067,0.35665760869565216,1593,1472,121,1461,repope,3633,302,151,3784,151,47,0
llava-v1.5-7b,llava-v1.5-7b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260507,32,,passed,,0.17299065102197125,0.12945216281136832,0.2342261527970276,0.6305302281710384,0.5736663100654871,0.6916178192774539,0.1782407648377874,0.05785123966942149,0.9130434782608695,1593,1472,121,1461,repope,3633,302,151,3784,151,47,0
llava-v1.5-7b,llava-v1.5-7b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260508,32,,passed,,0.3408339447056635,0.25499295169315744,0.42884752732361203,0.8146278745957599,0.773395177515068,0.8468410495717232,0.3454734977160951,0.12396694214876033,0.501358695652174,1593,1472,121,1461,repope,3633,302,151,3784,151,47,0
qwen2.5-vl-7b,qwen2.5-vl-7b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,32,,passed,,0.20240266300821527,0.05997684690345188,0.3741112926790078,0.9085315591144607,0.8671662505299681,0.9471712044857274,0.21420070154641732,0.22727272727272727,0.26878238341968913,1566,1544,22,1531,repope,3794,101,50,3844,50,74,0
qwen2.5-vl-7b,qwen2.5-vl-7b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260507,32,,passed,,0.07158411606908292,0.02964464396576185,0.15131896612983492,0.7749646726330663,0.659792304521903,0.8734646342218115,0.08818109012027396,0.18181818181818182,0.7862694300518135,1566,1544,22,1531,repope,3794,101,50,3844,50,74,0
qwen2.5-vl-7b,qwen2.5-vl-7b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260508,16,,passed,,0.12172995789202556,0.04726870557957634,0.25844169103579373,0.8435586434291097,0.7648281707505008,0.9119066628319155,0.15126566123269197,0.18181818181818182,0.5472797927461139,1566,1544,22,1531,repope,3794,101,50,3844,50,74,0
