run_id,model_name,dataset_name,subset_scope,seed,quick_run,block,pair_id,row_id,source,signal_builder,yes_no_trace_source,transform,feature_protocol,wavelet,level,threshold,classifier,sequence_model,window_mode,window_strategy,window_size,stride,mode,cwt_scales,feature_kind,feature_shape,feature_seconds,train_shape,validation_shape,test_shape,train_samples,validation_samples,test_samples,status,failure_reason,feature_paths,feature_storage
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_dwt_bior4.4_l2,A_dwt_bior4.4_l2::Teacher,Teacher,teacher_hidden_dim_signal,,dwt,wavelet_summary_static_pooled,bior4.4,2,universal_soft,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x60,115.53289312799461,4795x60,1579x60,1612x60,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_dwt_bior4.4_l2,A_dwt_bior4.4_l2::Ours,Ours,ours_semantic_trace_signal,final_broadcast,dwt,wavelet_summary_static_pooled,bior4.4,2,universal_soft,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x60,53.91636607190594,4795x60,1579x60,1612x60,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_swt_haar_l2,A_swt_haar_l2::Teacher,Teacher,teacher_hidden_dim_signal,,swt,wavelet_summary_static_pooled,haar,2,universal_soft,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x60,177.8105952029582,4795x60,1579x60,1612x60,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_swt_haar_l2,A_swt_haar_l2::Ours,Ours,ours_semantic_trace_signal,final_broadcast,swt,wavelet_summary_static_pooled,haar,2,universal_soft,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x60,55.96022209711373,4795x60,1579x60,1612x60,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_swt_db2_l2,A_swt_db2_l2::Teacher,Teacher,teacher_hidden_dim_signal,,swt,wavelet_summary_static_pooled,db2,2,universal_soft,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x60,186.18331967503764,4795x60,1579x60,1612x60,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_swt_db2_l2,A_swt_db2_l2::Ours,Ours,ours_semantic_trace_signal,final_broadcast,swt,wavelet_summary_static_pooled,db2,2,universal_soft,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x60,56.24013909394853,4795x60,1579x60,1612x60,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_swt_sym4_l2,A_swt_sym4_l2::Teacher,Teacher,teacher_hidden_dim_signal,,swt,wavelet_summary_static_pooled,sym4,2,universal_soft,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x60,207.15206258092076,4795x60,1579x60,1612x60,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_swt_sym4_l2,A_swt_sym4_l2::Ours,Ours,ours_semantic_trace_signal,final_broadcast,swt,wavelet_summary_static_pooled,sym4,2,universal_soft,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x60,56.07485270500183,4795x60,1579x60,1612x60,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_wpt_db2_l2,A_wpt_db2_l2::Teacher,Teacher,teacher_hidden_dim_signal,,wpt,wavelet_summary_static_pooled,db2,2,not_applicable,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x66,84.27253307704814,4795x66,1579x66,1612x66,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_wpt_db2_l2,A_wpt_db2_l2::Ours,Ours,ours_semantic_trace_signal,final_broadcast,wpt,wavelet_summary_static_pooled,db2,2,not_applicable,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x66,55.67919087805785,4795x66,1579x66,1612x66,4795,1579,1612,success,,[],memory
