model_alias,dataset_family,objective,num_bank_correct,embedding_dim,mean_resultant_length,concentration_proxy
gemma-4-12b-it,dash-b,bce,397,128,0.999944910824896,1152645.7936021038
gemma-4-12b-it,repope,supcon,1138,128,0.9997669273160784,272416.44550473936
gemma-4-12b-it,pope,supcon,1180,128,0.999680651846863,198811.7911420768
gemma-4-12b-it,dash-b,supcon,397,128,0.9997093153814717,218419.05616928067
gemma-4-12b-it,repope,proxy_anchor,1138,128,0.930298527823464,879.0619358541488
gemma-4-12b-it,pope,proxy_anchor,1180,128,0.921651306904513,778.3565321454682
gemma-4-12b-it,dash-b,proxy_anchor,397,128,0.998957136874488,60859.29403831149
qwen3.5-4b,repope,bce,1548,128,0.6039035724872801,121.32749297218562
qwen3.5-4b,pope,bce,1622,128,0.5232232544751783,92.02133522386126
qwen3.5-4b,dash-b,bce,361,128,0.22991495585408714,31.05875413100156
qwen3.5-4b,repope,supcon,1548,128,0.9997373888452618,241771.61707526166
qwen3.5-4b,pope,supcon,1622,128,0.9997419484097733,246044.0710090654
qwen3.5-4b,dash-b,supcon,361,128,0.9999832699227186,3795528.5248933057
qwen3.5-4b,repope,proxy_anchor,1548,128,0.8879876899168462,534.1562705084086
qwen3.5-4b,pope,proxy_anchor,1622,128,0.8670790920454736,444.5844389837328
qwen3.5-4b,dash-b,proxy_anchor,361,128,0.9555115147795966,1395.8188175073967
qwen3.5-9b,repope,bce,1554,128,0.8656692012680754,439.5432584793335
qwen3.5-9b,pope,bce,1642,128,0.7614086906712253,230.85620403371541
qwen3.5-9b,dash-b,bce,349,128,0.7739758580758189,245.92211494711765
qwen3.5-9b,repope,supcon,1554,128,0.9999940367139963,10648460.695886916
qwen3.5-9b,pope,supcon,1642,128,0.9999939201652043,10444331.98897437
qwen3.5-9b,dash-b,supcon,349,128,0.9999951759050048,13163059.956643775
qwen3.5-9b,repope,proxy_anchor,1554,128,0.925679836434081,822.3617797575905
qwen3.5-9b,pope,proxy_anchor,1642,128,0.8884078321970552,536.2985482462425
qwen3.5-9b,dash-b,proxy_anchor,349,128,0.9718236139614669,2222.428339067514
phi-4-multimodal-instruct,repope,bce,1496,128,0.8360287672773736,353.5135658752629
phi-4-multimodal-instruct,pope,bce,1572,128,0.8161536688246331,311.2493083352981
phi-4-multimodal-instruct,dash-b,bce,305,128,0.35985750484747236,52.860452408163326
phi-4-multimodal-instruct,repope,supcon,1496,128,0.9999979348876745,30748901.991662037
phi-4-multimodal-instruct,pope,supcon,1572,128,0.999997949615528,30969770.703147788
phi-4-multimodal-instruct,dash-b,supcon,305,128,0.9999985892591725,45011780.60649249
phi-4-multimodal-instruct,repope,proxy_anchor,1496,128,0.9522405567026277,1298.0054983488074
phi-4-multimodal-instruct,pope,proxy_anchor,1572,128,0.9467472716629036,1160.7554021445817
phi-4-multimodal-instruct,dash-b,proxy_anchor,305,128,0.9615342860032909,1619.409696788713
phi-3.5-vision-instruct,repope,bce,1475,128,0.821417991257681,321.53740270320685
phi-3.5-vision-instruct,pope,bce,1545,128,0.7576412724784586,226.63798509970724
phi-3.5-vision-instruct,dash-b,bce,334,128,0.38206255449068,57.1974512818697
phi-3.5-vision-instruct,repope,supcon,1475,128,0.9999626533365363,1700255.007474996
phi-3.5-vision-instruct,pope,supcon,1545,128,0.9999636503789463,1746892.5503530877
phi-3.5-vision-instruct,dash-b,supcon,334,128,0.999978171417033,2908999.1255602133
phi-3.5-vision-instruct,repope,proxy_anchor,1475,128,0.9716392408708713,2207.774114486908
phi-3.5-vision-instruct,pope,proxy_anchor,1545,128,0.9637834951262897,1721.9724774836402
phi-3.5-vision-instruct,dash-b,proxy_anchor,334,128,0.9410571213975153,1045.5411227280324
gemma-3-4b-it,repope,bce,1438,128,0.7538104548151325,222.47827603368964
gemma-3-4b-it,pope,bce,1538,128,0.6728680466992559,156.82537939530874
gemma-3-4b-it,dash-b,bce,305,128,0.5115811796997924,88.5139603744854
gemma-3-4b-it,repope,supcon,1438,128,0.9871853553589024,4924.300556392078
gemma-3-4b-it,pope,supcon,1538,128,0.9812614522871356,3357.6674419575793
gemma-3-4b-it,dash-b,supcon,305,128,0.9624041526641616,1657.6204634909461
gemma-3-4b-it,repope,proxy_anchor,1438,128,0.8897888422599366,543.4548596907908
gemma-3-4b-it,pope,proxy_anchor,1538,128,0.8792314049837923,492.8877674768624
gemma-3-4b-it,dash-b,proxy_anchor,305,128,0.9453020382111563,1129.223327717407
molmo-7b-d-0924,repope,bce,1513,128,0.8951527470105066,573.0315725376793
molmo-7b-d-0924,pope,bce,1624,128,0.8281969587798425,335.70381091697055
molmo-7b-d-0924,dash-b,bce,346,128,0.94199192398781,1062.9187686140838
molmo-7b-d-0924,repope,supcon,1513,128,0.9999544711734069,1394690.017405236
molmo-7b-d-0924,pope,supcon,1624,128,0.9999488353496097,1241060.5009191614
molmo-7b-d-0924,dash-b,supcon,346,128,0.9999727186887503,2327569.9802651433
molmo-7b-d-0924,repope,proxy_anchor,1513,128,0.9397538192358939,1022.2123630555268
molmo-7b-d-0924,pope,proxy_anchor,1624,128,0.9190798086660746,752.5541043087431
molmo-7b-d-0924,dash-b,proxy_anchor,346,128,0.9679030212700604,1947.0794053648867
minicpm-v-4_5,repope,bce,1530,128,0.9084939211835004,661.5791534745457
