epoch,loss,model_alias,objective
3.0,0.6601657926788963,minicpm-v-2_6,bce
4.0,0.5880135140725686,minicpm-v-2_6,bce
5.0,0.5168151906169797,minicpm-v-2_6,bce
6.0,0.47142899555784046,minicpm-v-2_6,bce
7.0,0.474509137052718,minicpm-v-2_6,bce
8.0,0.43719179044125983,minicpm-v-2_6,bce
9.0,0.4069985976110356,minicpm-v-2_6,bce
10.0,0.5186020751711738,minicpm-v-2_6,bce
11.0,0.4762001492670463,minicpm-v-2_6,bce
12.0,0.4600281806283967,minicpm-v-2_6,bce
13.0,0.4427641427368544,minicpm-v-2_6,bce
14.0,0.733457421489771,minicpm-v-2_6,bce
1.0,5.528156191481594,minicpm-v-2_6,supcon
2.0,5.528528180854449,minicpm-v-2_6,supcon
3.0,5.5279131766671465,minicpm-v-2_6,supcon
4.0,5.528043053456856,minicpm-v-2_6,supcon
5.0,5.525971545223379,minicpm-v-2_6,supcon
6.0,5.5241347704685575,minicpm-v-2_6,supcon
7.0,5.524698775833573,minicpm-v-2_6,supcon
8.0,5.526064033824873,minicpm-v-2_6,supcon
9.0,5.529468345444232,minicpm-v-2_6,supcon
10.0,5.529313448553758,minicpm-v-2_6,supcon
11.0,5.5286065265845465,minicpm-v-2_6,supcon
1.0,12.242631607530523,minicpm-v-2_6,proxy_anchor
2.0,12.280583088823374,minicpm-v-2_6,proxy_anchor
3.0,11.929358846419085,minicpm-v-2_6,proxy_anchor
4.0,11.564491570737847,minicpm-v-2_6,proxy_anchor
5.0,11.424999478446992,minicpm-v-2_6,proxy_anchor
6.0,11.404430458654506,minicpm-v-2_6,proxy_anchor
7.0,10.985927692587445,minicpm-v-2_6,proxy_anchor
8.0,11.197386800995506,minicpm-v-2_6,proxy_anchor
9.0,11.021896748127284,minicpm-v-2_6,proxy_anchor
10.0,10.692878323471893,minicpm-v-2_6,proxy_anchor
11.0,10.595333128054607,minicpm-v-2_6,proxy_anchor
12.0,10.46215743543696,minicpm-v-2_6,proxy_anchor
13.0,9.590350978107374,minicpm-v-2_6,proxy_anchor
14.0,11.097198458628041,minicpm-v-2_6,proxy_anchor
15.0,10.655851661911644,minicpm-v-2_6,proxy_anchor
16.0,9.198206058676313,minicpm-v-2_6,proxy_anchor
17.0,9.047854657984374,minicpm-v-2_6,proxy_anchor
18.0,9.028257815175037,minicpm-v-2_6,proxy_anchor
19.0,9.913880982030477,minicpm-v-2_6,proxy_anchor
20.0,9.02567319355565,minicpm-v-2_6,proxy_anchor
1.0,0.8653951582670691,gemma-3-12b-it,bce
2.0,0.48223936830470765,gemma-3-12b-it,bce
3.0,0.41849663462574127,gemma-3-12b-it,bce
4.0,0.41141363949905435,gemma-3-12b-it,bce
5.0,0.4056726746474636,gemma-3-12b-it,bce
6.0,0.3849286601554215,gemma-3-12b-it,bce
7.0,0.3936287893264242,gemma-3-12b-it,bce
8.0,0.36990704002723196,gemma-3-12b-it,bce
9.0,0.38408729465478864,gemma-3-12b-it,bce
10.0,0.3440502442985159,gemma-3-12b-it,bce
11.0,0.35866872823196416,gemma-3-12b-it,bce
12.0,0.34382671998816555,gemma-3-12b-it,bce
13.0,0.3445165276137832,gemma-3-12b-it,bce
14.0,0.3142383151644136,gemma-3-12b-it,bce
15.0,0.30380807546154226,gemma-3-12b-it,bce
16.0,0.2701791737616332,gemma-3-12b-it,bce
17.0,0.2805290858660693,gemma-3-12b-it,bce
18.0,0.30040793517176684,gemma-3-12b-it,bce
19.0,0.31647485344777937,gemma-3-12b-it,bce
20.0,0.41027900252946364,gemma-3-12b-it,bce
1.0,5.475466967468108,gemma-3-12b-it,supcon
2.0,5.44314562776929,gemma-3-12b-it,supcon
