model_alias,objective,selected_k,selected_on,selection_metric,selection_pr_auc,selection_roc_auc,num_bank_correct,metric_status,dataset_family,split,metric_split,readout,k,bank_size,pr_auc,roc_auc
minicpm-v-2_6,bce,,,,,,1529,passed,repope,cal,cal,Diag-kNN-tuned,8,1529,0.018296948558660826,0.6215457685664939
minicpm-v-2_6,bce,,,,,,1529,passed,repope,cal,cal,Diag-kNN-tuned,16,1529,0.018086025009448354,0.6138816925734025
minicpm-v-2_6,bce,,,,,,1529,passed,repope,cal,cal,Diag-kNN-tuned,32,1529,0.019448243447543097,0.6394645941278065
minicpm-v-2_6,supcon,,,,,,1529,passed,repope,cal,cal,Diag-kNN-tuned,1,1529,0.026686244195380952,0.7425518134715026
minicpm-v-2_6,supcon,,,,,,1529,passed,repope,cal,cal,Diag-kNN-tuned,2,1529,0.026114217356893142,0.7352115716753023
minicpm-v-2_6,supcon,,,,,,1529,passed,repope,cal,cal,Diag-kNN-tuned,4,1529,0.03240063577606135,0.7825993091537133
minicpm-v-2_6,supcon,,,,,,1529,passed,repope,cal,cal,Diag-kNN-tuned,8,1529,0.03900147062549051,0.8219991364421416
minicpm-v-2_6,supcon,,,,,,1529,passed,repope,cal,cal,Diag-kNN-tuned,16,1529,0.04340955829431975,0.8243739205526771
minicpm-v-2_6,supcon,,,,,,1529,passed,repope,cal,cal,Diag-kNN-tuned,32,1529,0.058012067279523086,0.8250215889464594
minicpm-v-2_6,proxy_anchor,,,,,,1529,passed,repope,cal,cal,Diag-kNN-tuned,1,1529,0.044738436781042314,0.7815198618307426
minicpm-v-2_6,proxy_anchor,,,,,,1529,passed,repope,cal,cal,Diag-kNN-tuned,2,1529,0.043001834544500406,0.7680267702936097
minicpm-v-2_6,proxy_anchor,,,,,,1529,passed,repope,cal,cal,Diag-kNN-tuned,4,1529,0.04186490985957721,0.7908031088082902
minicpm-v-2_6,proxy_anchor,,,,,,1529,passed,repope,cal,cal,Diag-kNN-tuned,8,1529,0.039313637596237044,0.8069948186528497
minicpm-v-2_6,proxy_anchor,,,,,,1529,passed,repope,cal,cal,Diag-kNN-tuned,16,1529,0.04014117416014587,0.8303108808290156
minicpm-v-2_6,proxy_anchor,,,,,,1529,passed,repope,cal,cal,Diag-kNN-tuned,32,1529,0.0664716205408303,0.8954015544041452
gemma-3-12b-it,bce,,,,,,1443,passed,repope,cal,cal,Diag-kNN-tuned,1,1443,0.24702660435933899,0.8436795560950234
gemma-3-12b-it,bce,,,,,,1443,passed,repope,cal,cal,Diag-kNN-tuned,2,1443,0.25179398547863396,0.8442864574302062
gemma-3-12b-it,bce,,,,,,1443,passed,repope,cal,cal,Diag-kNN-tuned,4,1443,0.24106931396926698,0.8415467314028091
gemma-3-12b-it,bce,,,,,,1443,passed,repope,cal,cal,Diag-kNN-tuned,8,1443,0.23502315381438244,0.842327033119473
gemma-3-12b-it,bce,,,,,,1443,passed,repope,cal,cal,Diag-kNN-tuned,16,1443,0.24332916507338676,0.8510317322698111
gemma-3-12b-it,bce,,,,,,1443,passed,repope,cal,cal,Diag-kNN-tuned,32,1443,0.2887584484807294,0.8788451534593376
gemma-3-12b-it,supcon,,,,,,1443,passed,repope,cal,cal,Diag-kNN-tuned,1,1443,0.6856921747990827,0.9572741460031212
gemma-3-12b-it,supcon,,,,,,1443,passed,repope,cal,cal,Diag-kNN-tuned,2,1443,0.6820087136724218,0.956840645049419
gemma-3-12b-it,supcon,,,,,,1443,passed,repope,cal,cal,Diag-kNN-tuned,4,1443,0.7252716225315187,0.9581584879486735
gemma-3-12b-it,supcon,,,,,,1443,passed,repope,cal,cal,Diag-kNN-tuned,8,1443,0.7454763935305125,0.961973296341252
