model,benchmark,protocol,bank_scope,variant,report_path,random_state,accuracy,precision,recall,f1,roc_auc,pr_auc,tpr_at_fpr_0.01,false_positive_rate
InternVL3.5-8B,POPE adversarial,image_grouped,object,output_chosen_answer_confidence,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,23,0.878,0.2444444444444444,0.032069970845481,0.056701030927835,0.7694060795456416,0.2699334399407493,0.0262390670553935,0.0127963869025216
InternVL3.5-8B,POPE adversarial,image_grouped,object,output_chosen_answer_confidence,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,29,0.877,0.2045454545454545,0.0262390670553935,0.0465116279069767,0.7933990306698517,0.2761127338470507,0.0174927113702623,0.013172751223184
InternVL3.5-8B,POPE adversarial,image_grouped,object,raw_curve_only,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,13,0.89,0.76,0.0553935860058309,0.1032608695652173,0.8476174382866755,0.4026100783438902,0.0962099125364431,0.0022581859239744
InternVL3.5-8B,POPE adversarial,image_grouped,object,raw_curve_only,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,17,0.888,0.64,0.0466472303206997,0.0869565217391304,0.8479685653496841,0.3962674279455463,0.0991253644314868,0.0033872788859616
InternVL3.5-8B,POPE adversarial,image_grouped,object,raw_curve_only,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,19,0.8863333333333333,0.5333333333333333,0.0466472303206997,0.0857908847184986,0.8467067024669968,0.3868144717068961,0.0903790087463556,0.0052691004892736
InternVL3.5-8B,POPE adversarial,image_grouped,object,raw_curve_only,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,23,0.888,0.6666666666666666,0.0408163265306122,0.0769230769230769,0.8487794494108198,0.4065482188869644,0.0991253644314868,0.0026345502446368
InternVL3.5-8B,POPE adversarial,image_grouped,object,raw_curve_only,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,29,0.8866666666666667,0.5652173913043478,0.0379008746355685,0.0710382513661202,0.8480420825785017,0.3974177684653265,0.1049562682215743,0.003763643206624
InternVL3.5-8B,POPE adversarial,image_grouped,object,raw_plus_calibrated_simple,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,13,0.889,0.6190476190476191,0.075801749271137,0.135064935064935,0.8515577422968759,0.4185447959489765,0.0991253644314868,0.0060218291305984
InternVL3.5-8B,POPE adversarial,image_grouped,object,raw_plus_calibrated_simple,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,17,0.8883333333333333,0.5833333333333334,0.0816326530612244,0.1432225063938619,0.8519516629706886,0.4144287866481001,0.1049562682215743,0.007527286413248
InternVL3.5-8B,POPE adversarial,image_grouped,object,raw_plus_calibrated_simple,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,19,0.8876666666666667,0.5681818181818182,0.0728862973760933,0.1291989664082687,0.8501444558682658,0.4074816807623869,0.0874635568513119,0.0071509220925856
