model,benchmark,benchmark_key,method,status,split_strategy,feature_source,metrics_path,predictions_path,n_rows,roc_auc,roc_auc_ci_lower,roc_auc_ci_upper,pr_auc,pr_auc_ci_lower,pr_auc_ci_upper
llava-onevision-7b,POPE popular,popular,shuffled,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/llava-onevision-7b/popular/shuffled_object/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/llava-onevision-7b/popular/shuffled_object/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/llava-onevision-7b/popular/shuffled_object/full_curve.parquet,3000,0.8646783232688904,0.833163857460022,0.8939303755760193,0.2078924775123596,0.136402279138565,0.2930958867073059
llava-onevision-7b,POPE popular,popular,query_local_k30,ok,image_grouped,outputs/gpu_round_2026_04/query_local_bank/features/llava-onevision-7b/popular/query_local_k30.parquet,outputs/gpu_round_2026_04/query_local_bank/metrics/llava-onevision-7b/popular/query_local_k30.json,outputs/gpu_round_2026_04/query_local_bank/predictions/llava-onevision-7b/popular/query_local_k30.parquet,3000,0.890407919883728,0.861566424369812,0.9151368737220764,0.19048216938972473,0.13365165889263153,0.25863057374954224
llava-onevision-7b,POPE popular,popular,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/llava-onevision-7b/popular/object_conditioned/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/llava-onevision-7b/popular/object_conditioned/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/llava-onevision-7b/popular/object_conditioned/no_manifold.parquet,3000,0.7651488780975342,0.7159802913665771,0.811046838760376,0.0834023654460907,0.0597058832645416,0.1163856983184814
llava-onevision-7b,POPE popular,popular,linear_probe,ok,image_grouped,outputs/gpu_round_2026_04/query_local_bank/features/llava-onevision-7b/popular/linear_probe.parquet,outputs/gpu_round_2026_04/query_local_bank/metrics/llava-onevision-7b/popular/linear_probe.json,outputs/gpu_round_2026_04/query_local_bank/predictions/llava-onevision-7b/popular/linear_probe.parquet,3000,0.9249109625816345,0.8805159330368042,0.9588344097137451,0.32396215200424194,0.25170305371284485,0.41240194439888
llava-onevision-7b,DASH-B,dash-b,object_cond,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/llava-onevision-7b/dash-b/object_conditioned/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/llava-onevision-7b/dash-b/object_conditioned/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/llava-onevision-7b/dash-b/object_conditioned/full_curve.parquet,2682,0.8423005938529968,0.8238755464553833,0.8600859642028809,0.7260435819625854,0.6920704245567322,0.7569461464881897
llava-onevision-7b,DASH-B,dash-b,shared,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/llava-onevision-7b/dash-b/shared/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/llava-onevision-7b/dash-b/shared/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/llava-onevision-7b/dash-b/shared/full_curve.parquet,2682,0.8024205565452576,0.7825035452842712,0.8235881328582764,0.6807876229286194,0.6470938324928284,0.7144762873649597
llava-onevision-7b,DASH-B,dash-b,shuffled,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/llava-onevision-7b/dash-b/shuffled_object/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/llava-onevision-7b/dash-b/shuffled_object/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/llava-onevision-7b/dash-b/shuffled_object/full_curve.parquet,2682,0.6959777474403381,0.6765087842941284,0.7165869474411011,0.5332129597663879,0.4873623251914978,0.5832613706588745
llava-onevision-7b,DASH-B,dash-b,query_local_k30,ok,image_grouped,outputs/gpu_round_2026_04/query_local_bank/features/llava-onevision-7b/dash-b/query_local_k30.parquet,outputs/gpu_round_2026_04/query_local_bank/metrics/llava-onevision-7b/dash-b/query_local_k30.json,outputs/gpu_round_2026_04/query_local_bank/predictions/llava-onevision-7b/dash-b/query_local_k30.parquet,2682,0.9851132035255432,0.9802743196487427,0.9892174005508423,0.9753081202507019,0.9681444764137268,0.9814143776893616
llava-onevision-7b,DASH-B,dash-b,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/llava-onevision-7b/dash-b/object_conditioned/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/llava-onevision-7b/dash-b/object_conditioned/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/llava-onevision-7b/dash-b/object_conditioned/no_manifold.parquet,2682,0.8939646482467651,0.876288890838623,0.9093724489212036,0.7789971828460693,0.7492773532867432,0.8119331002235413
llava-onevision-7b,DASH-B,dash-b,linear_probe,ok,image_grouped,outputs/gpu_round_2026_04/query_local_bank/features/llava-onevision-7b/dash-b/linear_probe.parquet,outputs/gpu_round_2026_04/query_local_bank/metrics/llava-onevision-7b/dash-b/linear_probe.json,outputs/gpu_round_2026_04/query_local_bank/predictions/llava-onevision-7b/dash-b/linear_probe.parquet,2682,0.9942739009857178,0.992276668548584,0.9958928823471069,0.9908856749534607,0.9877657294273376,0.9933314919471741
