model,benchmark,benchmark_key,bank_type,variant,status,split_strategy,feature_source,metrics_path,predictions_path,n_rows,roc_auc,roc_auc_ci_lower,roc_auc_ci_upper,pr_auc,pr_auc_ci_lower,pr_auc_ci_upper
molmo-7b-d-0924,POPE popular,popular,object_conditioned,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/popular/object_conditioned/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/popular/object_conditioned/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/popular/object_conditioned/no_manifold.parquet,3000,0.806327223777771,0.7725004553794861,0.8433311581611633,0.19120578467845917,0.14770454168319702,0.24897323548793793
molmo-7b-d-0924,POPE popular,popular,object_conditioned,full_curve,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/popular/object_conditioned/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/popular/object_conditioned/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/popular/object_conditioned/full_curve.parquet,3000,0.8906588554382324,0.8650479912757874,0.9161563515663147,0.3657320737838745,0.28680795431137085,0.4481949806213379
molmo-7b-d-0924,POPE popular,popular,shared,drift_only,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/popular/shared/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/popular/shared/drift_only.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/popular/shared/drift_only.parquet,3000,0.8668217062950134,0.839396595954895,0.8938992023468018,0.2713010907173157,0.21118812263011932,0.3377821147441864
molmo-7b-d-0924,POPE popular,popular,shared,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/popular/shared/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/popular/shared/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/popular/shared/no_manifold.parquet,3000,0.6718000769615173,0.6328553557395935,0.713140070438385,0.09335006773471832,0.07145644724369049,0.12810854613780975
molmo-7b-d-0924,POPE popular,popular,shared,full_curve,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/popular/shared/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/popular/shared/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/popular/shared/full_curve.parquet,3000,0.8684954643249512,0.8399555087089539,0.8960061073303223,0.2915123701095581,0.23008719086647034,0.3649657070636749
molmo-7b-d-0924,POPE popular,popular,shuffled_object,drift_only,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/popular/shuffled_object/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/popular/shuffled_object/drift_only.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/popular/shuffled_object/drift_only.parquet,3000,0.8582977056503296,0.82956862449646,0.885504424571991,0.2890554964542389,0.22724151611328125,0.35454311966896057
molmo-7b-d-0924,POPE popular,popular,shuffled_object,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/popular/shuffled_object/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/popular/shuffled_object/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/popular/shuffled_object/no_manifold.parquet,3000,0.7923606038093567,0.7514498829841614,0.8348586559295654,0.22231478989124298,0.1647925227880478,0.2944767475128174
molmo-7b-d-0924,POPE popular,popular,shuffled_object,full_curve,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/popular/shuffled_object/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/popular/shuffled_object/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/popular/shuffled_object/full_curve.parquet,3000,0.8931659460067749,0.866986870765686,0.9184654355049133,0.3876097500324249,0.31140270829200745,0.46784478425979614
molmo-7b-d-0924,DASH-B,dash-b,object_conditioned,drift_only,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/dash-b/object_conditioned/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/dash-b/object_conditioned/drift_only.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/dash-b/object_conditioned/drift_only.parquet,2682,0.7981774806976318,0.7788254618644714,0.8155738115310669,0.5779724717140198,0.5381945371627808,0.6193861961364746
molmo-7b-d-0924,DASH-B,dash-b,object_conditioned,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/dash-b/object_conditioned/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/dash-b/object_conditioned/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/dash-b/object_conditioned/no_manifold.parquet,2682,0.8563352823257446,0.8339638113975525,0.8743976950645447,0.6735981702804565,0.6362777352333069,0.7068511247634888
molmo-7b-d-0924,DASH-B,dash-b,object_conditioned,full_curve,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/dash-b/object_conditioned/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/dash-b/object_conditioned/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/dash-b/object_conditioned/full_curve.parquet,2682,0.7811731100082397,0.7591260075569153,0.8005069494247437,0.5495520830154419,0.5073733925819397,0.5897859930992126
molmo-7b-d-0924,DASH-B,dash-b,shared,drift_only,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/dash-b/shared/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/dash-b/shared/drift_only.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/dash-b/shared/drift_only.parquet,2682,0.7560598850250244,0.729028582572937,0.779545783996582,0.5430768728256226,0.5049749612808228,0.5811227560043335
molmo-7b-d-0924,DASH-B,dash-b,shared,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/dash-b/shared/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/dash-b/shared/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/dash-b/shared/no_manifold.parquet,2682,0.8772149085998535,0.8553163409233093,0.8955751061439514,0.6874313950538635,0.650188684463501,0.7208543419837952
molmo-7b-d-0924,DASH-B,dash-b,shared,full_curve,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/dash-b/shared/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/dash-b/shared/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/dash-b/shared/full_curve.parquet,2682,0.7576001882553101,0.730333149433136,0.7802873253822327,0.5473571419715881,0.5093631744384766,0.5860086679458618
molmo-7b-d-0924,DASH-B,dash-b,shuffled_object,drift_only,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/dash-b/shuffled_object/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/dash-b/shuffled_object/drift_only.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/dash-b/shuffled_object/drift_only.parquet,2682,0.6953915953636169,0.6722004413604736,0.7167344689369202,0.49772438406944275,0.44467368721961975,0.5472301840782166
molmo-7b-d-0924,DASH-B,dash-b,shuffled_object,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/dash-b/shuffled_object/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/dash-b/shuffled_object/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/dash-b/shuffled_object/no_manifold.parquet,2682,0.7057251930236816,0.6850350499153137,0.728014349937439,0.5120791792869568,0.46440640091896057,0.5584444403648376
molmo-7b-d-0924,DASH-B,dash-b,shuffled_object,full_curve,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/dash-b/shuffled_object/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/dash-b/shuffled_object/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/dash-b/shuffled_object/full_curve.parquet,2682,0.6848158240318298,0.6626639366149902,0.7077937722206116,0.5061332583427429,0.45816218852996826,0.5526551008224487
