model,benchmark,distance_type,roc_auc,roc_auc_ci_lower,roc_auc_ci_upper,pr_auc,pr_auc_ci_lower,pr_auc_ci_upper,status,source_report,split_strategy,n_rows,reason
qwen3-vl-8b,POPE adversarial,euclidean_pca_residual,0.8433871552975327,0.799507012055979,0.8829633690194058,0.1914694603648406,0.13223169391433975,0.2794768043600085,ok,,row,3000.0,
qwen3-vl-8b,POPE adversarial,centroid_angular,0.8733898766328012,0.8340811701959426,0.911359796541168,0.2172123762732158,0.15056151013944696,0.3025942181647101,ok,,row,3000.0,
qwen3-vl-8b,POPE adversarial,knn_angular_k10,0.8716210087082727,0.8392634694348643,0.9041114000830301,0.22722676448985935,0.15551748858542308,0.32488591618828205,ok,,row,3000.0,
qwen3-vl-8b,POPE adversarial,centroid_euclidean,0.8811230043541365,0.846274967036313,0.9140771892287932,0.2232745622784338,0.15487036122588257,0.31520173508892296,ok,,row,3000.0,
qwen3-vl-8b,RePOPE,full_MIND_saved,0.8941930816597008,0.8706838992769901,0.9146208319225771,0.23451211028494748,0.1790855067865315,0.3037678116052512,ok,outputs/decisive_round_2026_04/reports/round2-qwen3-vl-8b-repope,row,3000.0,
qwen3-vl-8b,RePOPE,no_manifold,0.7738497927210762,0.7353301798852773,0.8123364592781482,0.11866393571771741,0.08865193228078469,0.15989566356740284,ok,outputs/decisive_round_2026_04/reports/round2-qwen3-vl-8b-repope,row,3000.0,
qwen3-vl-8b,RePOPE,euclidean_pca_residual,0.9004102596223106,0.8670454065565011,0.9300495711312087,0.21318678072372754,0.13046526490498808,0.327822846013114,ok,,row,3000.0,
qwen3-vl-8b,RePOPE,centroid_angular,0.9032601547085904,0.8582716189582589,0.9423320454922819,0.28549774852723847,0.17378015276719033,0.4113642090687555,ok,,row,3000.0,
qwen3-vl-8b,RePOPE,knn_angular_k10,0.8952428674329023,0.8652365577550297,0.9229459673754212,0.18263664222823753,0.12245895200829458,0.2693611010043285,ok,,row,3000.0,
qwen3-vl-8b,RePOPE,centroid_euclidean,0.9146910525821302,0.8754681469782626,0.9499751761119777,0.26645305247585666,0.16968650777199154,0.40053139037022145,ok,,row,3000.0,
internvl3.5-8b,POPE popular,full_MIND_saved,0.9118545576712829,0.8973225064582766,0.9259904388008362,0.5330551553999465,0.47394568457920744,0.5925539342941284,ok,outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-popular,image_grouped,3000.0,
internvl3.5-8b,POPE popular,no_manifold,0.8558830061042274,0.8351003081640667,0.8760620891887828,0.4033270264592862,0.3392733172821464,0.4617970796318207,ok,outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-popular,image_grouped,3000.0,
internvl3.5-8b,POPE popular,euclidean_pca_residual,0.897751343841108,0.8810067176364405,0.9139832984677446,0.509211160569455,0.45282616922457636,0.5669385194589959,ok,,image_grouped,3000.0,
internvl3.5-8b,POPE popular,centroid_angular,0.9062180792171148,0.8886365307359926,0.9225828,0.4506815224618542,0.39158591098802703,0.5150732026914541,ok,,image_grouped,3000.0,
internvl3.5-8b,POPE popular,knn_angular_k10,0.885810207507411,0.8691737301959253,0.9022357366648955,0.3664066272403493,0.3167097063344698,0.42345784983245977,ok,,image_grouped,3000.0,
internvl3.5-8b,POPE popular,centroid_euclidean,0.9125668773884782,0.8946095256082435,0.9281717032305471,0.4594027168913216,0.4043420622543943,0.5231721950596558,ok,,image_grouped,3000.0,
internvl3.5-8b,DASH-B,full_MIND_saved,0.859500380629857,0.8426474869801476,0.8749269846040459,0.7203837441047978,0.6812600519676113,0.7553910841972061,ok,outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,image_grouped,2682.0,
internvl3.5-8b,DASH-B,no_manifold,0.8769477569619777,0.8621248505699803,0.8918240582058654,0.728772290795189,0.6906516500640649,0.7629980376967307,ok,outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,image_grouped,2682.0,
internvl3.5-8b,DASH-B,euclidean_pca_residual,0.8574034013646433,0.8403704176984078,0.8727806808781089,0.7084055294610277,0.6669091868520685,0.7436382298599653,ok,,image_grouped,2682.0,
internvl3.5-8b,DASH-B,centroid_angular,,,,,,,missing_cache,,,,missing eval cache
internvl3.5-8b,DASH-B,knn_angular_k10,,,,,,,missing_cache,,,,missing eval cache
internvl3.5-8b,DASH-B,centroid_euclidean,,,,,,,missing_cache,,,,missing eval cache
internvl3.5-8b,POPE adversarial,full_MIND_saved,0.8582686582886286,0.8404592187979392,0.875785959907085,0.43395396114525053,0.3786059431008919,0.490147474946565,ok,outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,row,3000.0,
