model_alias,model_name,dataset_family,encoder_family,objective,method,readout,support_family,method_role,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,selected_K,selected_rho,selected_C,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,training_dataset_family,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hard_hallucination,num_excluded_false_negative,num_excluded_parsed_none
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,radius_ball,StageC-radius_ball,radius_ball,support_estimator,test,test,pooled,0.5,20260507,,,0.007575214267842335,,passed,,0.38907526150958305,0.31684250259036234,0.4622301419316523,0.5510973936899863,0.48188061589965325,0.6126953852717467,0.26237752198021325,0.0,0.9475308641975309,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,logistic,StageC-logistic,supervised_comparator,supervised_comparator,test,test,pooled,0.5,20260507,,,,0.1,passed,,0.47873228934293777,0.3890818263380196,0.5798340899654968,0.7904040404040404,0.7442961047091753,0.8312604165146894,0.4829589005293951,0.0707070707070707,0.5370370370370371,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,single_vmf,StageC-single_vmf,single_vmf,support_estimator,test,test,pooled,0.5,20260508,,,,,passed,,0.380381691856859,0.29324562053915426,0.4776965213083624,0.5861703454296046,0.5165698285752609,0.6561313177433526,0.38363640595078974,0.06060606060606061,0.9691358024691358,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,mixture_vmf,StageC-mixture_vmf,mixture_vmf,support_estimator,test,test,pooled,0.5,20260508,,2,,,passed,,0.380381691856859,0.29324562053915426,0.4776965213083624,0.5861703454296046,0.5165698285752609,0.6561313177433526,0.38363640595078974,0.06060606060606061,0.9691358024691358,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,knn,StageC-knn,knn,support_estimator,test,test,pooled,0.5,20260508,4,,,,passed,,0.38482367489775504,0.2972925820719213,0.47630681868706615,0.6178139418880159,0.5522432498376911,0.6818324738597126,0.3881125177570163,0.06060606060606061,0.8518518518518519,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,radius_ball,StageC-radius_ball,radius_ball,support_estimator,test,test,pooled,0.5,20260508,,,0.00906405868349422,,passed,,0.5472350432878685,0.49833293320807376,0.5990142495930929,0.598079561042524,0.5525439515517576,0.6449220220266436,0.2765091808601156,0.0,0.8271604938271605,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,logistic,StageC-logistic,supervised_comparator,supervised_comparator,test,test,pooled,0.5,20260508,,,,0.1,passed,,0.4726229496322787,0.3794786456908473,0.5690850359131298,0.7707320114727523,0.7197149487015267,0.8193742122604962,0.47629168071078054,0.06060606060606061,0.5771604938271605,423,324,99,394,repope,3776,80,40,3816,40,20,0
gemma-3-12b-it,gemma-3-12b-it,dash-b,Sphere-Traj-LSTM,proxy_anchor,single_vmf,StageC-single_vmf,single_vmf,support_estimator,test,test,pooled,0.5,20260506,,,,,passed,,0.5575150475161729,0.49446001582676535,0.6240163866110905,0.7220122616948014,0.6730453693046069,0.768285412140385,0.5605028614976812,0.01020408163265306,0.5843621399176955,439,243,196,326,repope,3553,425,212,3765,212,4,0
gemma-3-12b-it,gemma-3-12b-it,dash-b,Sphere-Traj-LSTM,proxy_anchor,mixture_vmf,StageC-mixture_vmf,mixture_vmf,support_estimator,test,test,pooled,0.5,20260506,,8,,,passed,,0.5575150475161729,0.49446001582676535,0.6240163866110905,0.7220122616948014,0.6730453693046069,0.768285412140385,0.5605028614976812,0.01020408163265306,0.5843621399176955,439,243,196,326,repope,3553,425,212,3765,212,4,0
gemma-3-12b-it,gemma-3-12b-it,dash-b,Sphere-Traj-LSTM,proxy_anchor,knn,StageC-knn,knn,support_estimator,test,test,pooled,0.5,20260506,32,,,,passed,,0.7698448841080806,0.7127898780405677,0.8210691348631407,0.7794784580498868,0.7340405956462818,0.8197308134846609,0.7705506915465588,0.1836734693877551,0.7777777777777778,439,243,196,326,repope,3553,425,212,3765,212,4,0
gemma-3-12b-it,gemma-3-12b-it,dash-b,Sphere-Traj-LSTM,proxy_anchor,radius_ball,StageC-radius_ball,radius_ball,support_estimator,test,test,pooled,0.5,20260506,,,0.01482555265630899,,passed,,0.7104382097941193,0.6477839187688876,0.7678588574329905,0.7463256907701352,0.6979925383623112,0.7905059413840912,0.6595649705966022,0.0,0.8065843621399177,439,243,196,326,repope,3553,425,212,3765,212,4,0
gemma-3-12b-it,gemma-3-12b-it,dash-b,Sphere-Traj-LSTM,proxy_anchor,logistic,StageC-logistic,supervised_comparator,supervised_comparator,test,test,pooled,0.5,20260506,,,,0.1,passed,,0.8957315779518673,0.8505902536990537,0.9375737422177953,0.9267237759301251,0.9022216842322344,0.9502830111674998,0.8961686998247655,0.15306122448979592,0.31275720164609055,439,243,196,326,repope,3553,425,212,3765,212,4,0
gemma-3-12b-it,gemma-3-12b-it,dash-b,Sphere-Traj-LSTM,proxy_anchor,single_vmf,StageC-single_vmf,single_vmf,support_estimator,test,test,pooled,0.5,20260507,,,,,passed,,0.6061335581172319,0.5405251329298875,0.6764374656393075,0.6987696313093139,0.6488309471299215,0.7463492597464942,0.6076202769557904,0.09183673469387756,0.6584362139917695,439,243,196,326,repope,3553,425,212,3765,212,4,0
