epoch,loss,model_alias,objective,negative_budget_ratio,negative_budget_seed
12.0,10.452363098785854,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260507
13.0,8.757352959370381,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260507
14.0,9.4686710715966,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260507
15.0,8.24890140983644,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260507
16.0,7.844395022096541,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260507
1.0,12.20831871521528,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260508
2.0,11.096543912824028,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260508
3.0,10.680197910795696,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260508
4.0,10.081570271404507,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260508
5.0,9.640118583540376,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260508
6.0,9.273281029955905,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260508
7.0,9.912059615783848,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260508
8.0,8.116394086656419,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260508
9.0,8.171374006677077,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260508
10.0,8.74503226074911,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260508
11.0,8.435453141968352,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260508
12.0,6.205176688291549,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260508
13.0,9.796452419138273,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260508
14.0,7.524184321819483,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260508
15.0,7.007883749394341,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260508
16.0,7.825144689062324,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260508
17.0,6.601382263130802,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260508
1.0,11.317461123292626,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260506
2.0,9.99459006257966,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260506
3.0,9.629859481266003,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260506
4.0,10.012540527730447,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260506
5.0,9.351093117137086,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260506
6.0,9.50044640158078,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260506
7.0,10.114807582684564,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260506
8.0,9.518124595612003,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260506
9.0,9.274253701066243,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260506
10.0,9.666092132270444,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260506
11.0,8.949326415193891,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260506
12.0,8.220590741004875,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260506
13.0,8.2384289896146,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260506
14.0,9.110979390754729,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260506
15.0,8.164016463573446,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260506
16.0,7.636660060007657,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260506
17.0,12.378554468103117,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260506
18.0,8.548502283809041,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260506
19.0,6.817420493047429,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260506
20.0,8.175544063468905,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260506
1.0,11.984358219573872,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260507
2.0,9.540268384365262,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260507
3.0,9.574806046325598,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260507
4.0,9.764672036623505,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260507
5.0,10.108110939096905,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260507
6.0,9.32056900090508,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260507
7.0,9.478891172919559,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260507
8.0,8.24976821755882,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260507
9.0,8.073055427386244,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260507
10.0,11.627295297154598,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260507
11.0,9.11193294838776,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260507
12.0,8.57003212468335,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260507
13.0,9.282284414795964,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260507
14.0,8.308870253218894,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260507
1.0,10.393710439846995,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260508
2.0,9.642811756816126,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260508
3.0,10.85940504542672,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260508
4.0,9.651705085630098,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260508
5.0,9.629503046908303,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260508
6.0,9.322660192273093,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260508
7.0,9.0619623067461,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260508
8.0,8.004870175390488,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260508
9.0,7.262116524363662,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260508
10.0,6.654354057263921,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260508
11.0,6.3090777788354595,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260508
12.0,6.222283372467175,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260508
13.0,7.9178294755705325,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260508
14.0,5.042339865417268,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260508
15.0,8.102802660542617,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260508
16.0,5.331160468922387,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260508
17.0,2.8736435458071856,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260508
18.0,4.429887124232491,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260508
19.0,2.216834277044751,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260508
20.0,0.43716532039700057,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.25,20260508
1.0,12.791494127014774,qwen3-vl-8b,proxy_anchor,1.0,20260506
2.0,12.15896128553841,qwen3-vl-8b,proxy_anchor,1.0,20260506
3.0,11.750990220649758,qwen3-vl-8b,proxy_anchor,1.0,20260506
4.0,11.743878809291514,qwen3-vl-8b,proxy_anchor,1.0,20260506
5.0,11.16149415442692,qwen3-vl-8b,proxy_anchor,1.0,20260506
6.0,11.376521993282452,qwen3-vl-8b,proxy_anchor,1.0,20260506
7.0,10.962434408293298,qwen3-vl-8b,proxy_anchor,1.0,20260506
8.0,10.723705914751369,qwen3-vl-8b,proxy_anchor,1.0,20260506
9.0,10.465106703408399,qwen3-vl-8b,proxy_anchor,1.0,20260506
10.0,10.565755739643347,qwen3-vl-8b,proxy_anchor,1.0,20260506
11.0,9.831193268359007,qwen3-vl-8b,proxy_anchor,1.0,20260506
12.0,10.532384211094536,qwen3-vl-8b,proxy_anchor,1.0,20260506
13.0,10.166358558137214,qwen3-vl-8b,proxy_anchor,1.0,20260506
14.0,10.250704064680704,qwen3-vl-8b,proxy_anchor,1.0,20260506
15.0,9.22755487288662,qwen3-vl-8b,proxy_anchor,1.0,20260506
16.0,9.214180025263648,qwen3-vl-8b,proxy_anchor,1.0,20260506
