row_type,model_alias,objective,selected_k,selected_on,frozen_for_test,selection_metric,selection_pr_auc,selection_roc_auc,num_bank_correct,negative_budget_ratio,negative_budget_seed,metric_status
selected,gemma-3-12b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.6559742011521235,0.9375238425524536,1443,0.1,20260508,passed
selected,gemma-4-12b-it,proxy_anchor,4,repope/cal,True,pr_auc,0.3710268840206323,0.8154362416107382,1138,1.0,20260506,passed
selected,gemma-4-12b-it,proxy_anchor,4,repope/cal,True,pr_auc,0.26047201142197607,0.9280920421860018,1138,1.0,20260507,passed
selected,gemma-4-12b-it,proxy_anchor,16,repope/cal,True,pr_auc,0.28004630838883804,0.9477468839884947,1138,1.0,20260508,passed
selected,gemma-4-12b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.22687731962272675,0.8245445829338447,1138,0.5,20260506,passed
selected,gemma-4-12b-it,proxy_anchor,1,repope/cal,True,pr_auc,0.06299752426975054,0.8319750719079578,1138,0.5,20260507,passed
selected,gemma-4-12b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.14097664764181972,0.9304889741131351,1138,0.5,20260508,passed
selected,qwen3.5-4b,proxy_anchor,32,repope/cal,True,pr_auc,0.18786795988544788,0.9540759352317141,1548,1.0,20260506,passed
selected,qwen3.5-4b,proxy_anchor,32,repope/cal,True,pr_auc,0.05812736747399809,0.7452540480178671,1548,1.0,20260507,passed
selected,qwen3.5-4b,proxy_anchor,16,repope/cal,True,pr_auc,0.21613522604422503,0.9794807370184255,1548,1.0,20260508,passed
selected,qwen3.5-4b,proxy_anchor,32,repope/cal,True,pr_auc,0.22576950249183558,0.9695700725851479,1548,0.5,20260506,passed
selected,qwen3.5-4b,proxy_anchor,32,repope/cal,True,pr_auc,0.3649441442819509,0.9469570072585147,1548,0.5,20260507,passed
selected,qwen3.5-4b,proxy_anchor,2,repope/cal,True,pr_auc,0.2652774920812521,0.9159687325516471,1548,0.5,20260508,passed
selected,qwen3.5-4b,proxy_anchor,32,repope/cal,True,pr_auc,0.49452105889864395,0.966499162479062,1548,0.25,20260506,passed
selected,qwen3.5-4b,proxy_anchor,32,repope/cal,True,pr_auc,0.030209732374468418,0.7132886655499721,1548,0.25,20260507,passed
selected,qwen3.5-4b,proxy_anchor,32,repope/cal,True,pr_auc,0.14768272954888242,0.9599385817978783,1548,0.25,20260508,passed
selected,qwen3.5-9b,proxy_anchor,32,repope/cal,True,pr_auc,0.6037690789486135,0.9827144686299616,1554,1.0,20260506,passed
selected,qwen3.5-9b,proxy_anchor,32,repope/cal,True,pr_auc,0.6471067332190421,0.9712548015364917,1554,1.0,20260507,passed
selected,qwen3.5-9b,proxy_anchor,32,repope/cal,True,pr_auc,0.5074332334472853,0.9637003841229194,1554,1.0,20260508,passed
selected,qwen3.5-9b,proxy_anchor,1,repope/cal,True,pr_auc,0.7480146504472707,0.9854033290653009,1554,0.5,20260506,passed
selected,qwen3.5-9b,proxy_anchor,32,repope/cal,True,pr_auc,0.2620667275728277,0.8159411011523687,1554,0.5,20260507,passed
selected,qwen3.5-9b,proxy_anchor,32,repope/cal,True,pr_auc,0.530571866261216,0.9829705505761843,1554,0.5,20260508,passed
selected,qwen3.5-9b,proxy_anchor,32,repope/cal,True,pr_auc,0.37494707990314013,0.9410371318822023,1554,0.25,20260506,passed
selected,qwen3.5-9b,proxy_anchor,32,repope/cal,True,pr_auc,0.4637793908796545,0.9685019206145967,1554,0.25,20260507,passed
selected,qwen3.5-9b,proxy_anchor,32,repope/cal,True,pr_auc,0.3516704104595081,0.9482714468629961,1554,0.25,20260508,passed
selected,phi-4-multimodal-instruct,proxy_anchor,32,repope/cal,True,pr_auc,0.5873613588327281,0.9544700460829493,1496,1.0,20260506,passed
selected,phi-4-multimodal-instruct,proxy_anchor,32,repope/cal,True,pr_auc,0.37399124884199325,0.9571121351766513,1496,1.0,20260507,passed
selected,phi-4-multimodal-instruct,proxy_anchor,32,repope/cal,True,pr_auc,0.5027720716479227,0.9492473118279571,1496,1.0,20260508,passed
selected,phi-4-multimodal-instruct,proxy_anchor,8,repope/cal,True,pr_auc,0.49911835044641656,0.9169278033794163,1496,0.5,20260506,passed
selected,phi-4-multimodal-instruct,proxy_anchor,8,repope/cal,True,pr_auc,0.4566502968419517,0.9278648233486944,1496,0.5,20260507,passed
selected,phi-4-multimodal-instruct,proxy_anchor,32,repope/cal,True,pr_auc,0.5070858736978145,0.9598771121351767,1496,0.5,20260508,passed
selected,phi-4-multimodal-instruct,proxy_anchor,8,repope/cal,True,pr_auc,0.2781715034456023,0.6973271889400922,1496,0.25,20260506,passed
selected,phi-4-multimodal-instruct,proxy_anchor,32,repope/cal,True,pr_auc,0.43505192972464923,0.9542857142857143,1496,0.25,20260507,passed
selected,phi-4-multimodal-instruct,proxy_anchor,16,repope/cal,True,pr_auc,0.12259165110238425,0.7359754224270354,1496,0.25,20260508,passed
selected,phi-3.5-vision-instruct,proxy_anchor,16,repope/cal,True,pr_auc,0.4179516504228741,0.9263275323516287,1475,1.0,20260506,passed
selected,phi-3.5-vision-instruct,proxy_anchor,32,repope/cal,True,pr_auc,0.5153588199283673,0.9483266398929049,1475,1.0,20260507,passed
selected,phi-3.5-vision-instruct,proxy_anchor,32,repope/cal,True,pr_auc,0.3096848477213132,0.9412762159750112,1475,1.0,20260508,passed
selected,phi-3.5-vision-instruct,proxy_anchor,32,repope/cal,True,pr_auc,0.30924831332582625,0.9358768406961178,1475,0.5,20260506,passed
selected,phi-3.5-vision-instruct,proxy_anchor,32,repope/cal,True,pr_auc,0.3831156845139845,0.9282016956715752,1475,0.5,20260507,passed
selected,phi-3.5-vision-instruct,proxy_anchor,32,repope/cal,True,pr_auc,0.513645536849261,0.9449799196787149,1475,0.5,20260508,passed
selected,phi-3.5-vision-instruct,proxy_anchor,32,repope/cal,True,pr_auc,0.30569370627960146,0.8933511825078091,1475,0.25,20260506,passed
selected,phi-3.5-vision-instruct,proxy_anchor,32,repope/cal,True,pr_auc,0.253988820155853,0.9218206157965195,1475,0.25,20260507,passed
selected,phi-3.5-vision-instruct,proxy_anchor,32,repope/cal,True,pr_auc,0.42272485124619963,0.9423025435073628,1475,0.25,20260508,passed
selected,gemma-3-4b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.563356068851326,0.9037948907811921,1438,1.0,20260506,passed
selected,gemma-3-4b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.6386021972549021,0.9268789337282488,1438,1.0,20260507,passed
selected,gemma-3-4b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.5377148836625185,0.9025360977415772,1438,1.0,20260508,passed
selected,gemma-3-4b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.5864913023129374,0.8932617549055905,1438,0.5,20260506,passed
selected,gemma-3-4b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.5510706170550642,0.911625323954091,1438,0.5,20260507,passed
selected,gemma-3-4b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.6976567011837884,0.9297667530544242,1438,0.5,20260508,passed
selected,gemma-3-4b-it,proxy_anchor,16,repope/cal,True,pr_auc,0.6752836026146608,0.9529248426508701,1438,0.25,20260506,passed
selected,gemma-3-4b-it,proxy_anchor,1,repope/cal,True,pr_auc,0.6472261272604027,0.9119029988893002,1438,0.25,20260507,passed
selected,gemma-3-4b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.6209436363403074,0.927952610144391,1438,0.25,20260508,passed
selected,gemma-3-4b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.6597734466961713,0.9168271010736764,1438,0.1,20260506,passed
selected,gemma-3-4b-it,proxy_anchor,8,repope/cal,True,pr_auc,0.6050676766266067,0.9231951129211403,1438,0.1,20260507,passed
selected,gemma-3-4b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.6355872064200914,0.9214550166604961,1438,0.1,20260508,passed
selected,molmo-7b-d-0924,proxy_anchor,32,repope/cal,True,pr_auc,0.40487542366087004,0.9358360139620834,1513,1.0,20260506,passed
selected,molmo-7b-d-0924,proxy_anchor,8,repope/cal,True,pr_auc,0.5021585111391653,0.9527410854835398,1513,1.0,20260507,passed
selected,molmo-7b-d-0924,proxy_anchor,32,repope/cal,True,pr_auc,0.2399340387069704,0.7197317089863802,1513,1.0,20260508,passed
selected,molmo-7b-d-0924,proxy_anchor,4,repope/cal,True,pr_auc,0.45141411770044954,0.9213263979193759,1513,0.5,20260506,passed
selected,molmo-7b-d-0924,proxy_anchor,1,repope/cal,True,pr_auc,0.05359355710759879,0.5723085346656629,1513,0.5,20260507,passed
selected,molmo-7b-d-0924,proxy_anchor,32,repope/cal,True,pr_auc,0.3020352400750191,0.8980220381904045,1513,0.5,20260508,passed
selected,molmo-7b-d-0924,proxy_anchor,16,repope/cal,True,pr_auc,0.43244446531640673,0.9472657586749709,1513,0.25,20260506,passed
selected,molmo-7b-d-0924,proxy_anchor,8,repope/cal,True,pr_auc,0.35766949978502344,0.8580521524878517,1513,0.25,20260507,passed
selected,molmo-7b-d-0924,proxy_anchor,32,repope/cal,True,pr_auc,0.40278414380868227,0.9400793922387243,1513,0.25,20260508,passed
selected,molmo-7b-d-0924,proxy_anchor,16,repope/cal,True,pr_auc,0.4415676721072679,0.9330299089726918,1513,0.1,20260506,passed
selected,molmo-7b-d-0924,proxy_anchor,2,repope/cal,True,pr_auc,0.3852170182337779,0.8888850865786051,1513,0.1,20260507,passed
selected,molmo-7b-d-0924,proxy_anchor,32,repope/cal,True,pr_auc,0.3503242007535095,0.9212579563342688,1513,0.1,20260508,passed
selected,minicpm-v-4_5,proxy_anchor,16,repope/cal,True,pr_auc,0.501236745255241,0.973106960950764,1530,1.0,20260506,passed
selected,minicpm-v-4_5,proxy_anchor,16,repope/cal,True,pr_auc,0.4430534774415055,0.9032258064516129,1530,1.0,20260507,passed
selected,minicpm-v-4_5,proxy_anchor,32,repope/cal,True,pr_auc,0.42546959146176927,0.9442444821731748,1530,1.0,20260508,passed
selected,minicpm-v-4_5,proxy_anchor,32,repope/cal,True,pr_auc,0.5078247909406419,0.9560611205432938,1530,0.5,20260506,passed
selected,minicpm-v-4_5,proxy_anchor,32,repope/cal,True,pr_auc,0.39900376429231266,0.9433616298811545,1530,0.5,20260507,passed
selected,minicpm-v-4_5,proxy_anchor,2,repope/cal,True,pr_auc,0.11976763907151905,0.8624108658743633,1530,0.5,20260508,passed
selected,minicpm-v-4_5,proxy_anchor,32,repope/cal,True,pr_auc,0.19995147894401366,0.9150424448217318,1530,0.25,20260506,passed
selected,minicpm-v-4_5,proxy_anchor,32,repope/cal,True,pr_auc,0.25536680521846544,0.9396943972835314,1530,0.25,20260507,passed
selected,minicpm-v-4_5,proxy_anchor,32,repope/cal,True,pr_auc,0.19942120267425395,0.8209168081494058,1530,0.25,20260508,passed
selected,llava-v1.5-7b,proxy_anchor,32,repope/cal,True,pr_auc,0.16903043566432496,0.529064013054062,1461,1.0,20260506,passed
selected,llava-v1.5-7b,proxy_anchor,32,repope/cal,True,pr_auc,0.29032066240659593,0.7138271406789182,1461,1.0,20260507,passed
selected,llava-v1.5-7b,proxy_anchor,32,repope/cal,True,pr_auc,0.17100595186336714,0.6086456410667951,1461,1.0,20260508,passed
selected,llava-v1.5-7b,proxy_anchor,32,repope/cal,True,pr_auc,0.49697010339199416,0.9178503597892089,1461,0.5,20260506,passed
selected,llava-v1.5-7b,proxy_anchor,32,repope/cal,True,pr_auc,0.1375296668878503,0.5863360350961667,1461,0.5,20260507,passed
selected,llava-v1.5-7b,proxy_anchor,32,repope/cal,True,pr_auc,0.5350175033178786,0.8869539630313245,1461,0.5,20260508,passed
selected,llava-v1.5-7b,proxy_anchor,32,repope/cal,True,pr_auc,0.21395151271956755,0.6684856753069577,1461,0.25,20260506,passed
selected,llava-v1.5-7b,proxy_anchor,32,repope/cal,True,pr_auc,0.4837630848081604,0.9309846721771928,1461,0.25,20260507,passed
selected,llava-v1.5-7b,proxy_anchor,32,repope/cal,True,pr_auc,0.38844140734925997,0.9192413663964905,1461,0.25,20260508,passed
selected,llava-v1.5-7b,proxy_anchor,32,repope/cal,True,pr_auc,0.2476733356351526,0.864885108204264,1461,0.1,20260506,passed
selected,llava-v1.5-7b,proxy_anchor,32,repope/cal,True,pr_auc,0.49781556871777854,0.892812240858144,1461,0.1,20260507,passed
selected,llava-v1.5-7b,proxy_anchor,16,repope/cal,True,pr_auc,0.09219376268038817,0.37070326084048905,1461,0.1,20260508,passed
selected,qwen2.5-vl-7b,proxy_anchor,32,repope/cal,True,pr_auc,0.6713923699748021,0.9633209040407884,1531,1.0,20260506,passed
selected,qwen2.5-vl-7b,proxy_anchor,4,repope/cal,True,pr_auc,0.5690458431497059,0.9877482687771098,1531,1.0,20260507,passed
selected,qwen2.5-vl-7b,proxy_anchor,32,repope/cal,True,pr_auc,0.19363954240647416,0.8411840803591812,1531,1.0,20260508,passed
selected,qwen2.5-vl-7b,proxy_anchor,32,repope/cal,True,pr_auc,0.8110065339203507,0.9838672855947036,1531,0.5,20260506,passed
selected,qwen2.5-vl-7b,proxy_anchor,32,repope/cal,True,pr_auc,0.5982552130801682,0.8965071151358344,1531,0.5,20260507,passed
selected,qwen2.5-vl-7b,proxy_anchor,16,repope/cal,True,pr_auc,0.7140927718335911,0.9720721406285671,1531,0.5,20260508,passed
selected,qwen2.5-vl-7b,proxy_anchor,16,repope/cal,True,pr_auc,0.5607863361268934,0.9894224183852065,1531,0.25,20260506,passed
selected,qwen2.5-vl-7b,proxy_anchor,32,repope/cal,True,pr_auc,0.33088663629136666,0.9605052887908074,1531,0.25,20260507,passed
selected,qwen2.5-vl-7b,proxy_anchor,8,repope/cal,True,pr_auc,0.41553439580477447,0.9746594627501712,1531,0.25,20260508,passed
