model_alias,dataset_family,objective,negative_budget_ratio,negative_budget_seed,num_bank_correct,embedding_dim,mean_resultant_length,concentration_proxy
minicpm-v-2_6,dash-b,proxy_anchor,0.5,20260508,394,128,0.9498554126756887,1234.7214094596077
minicpm-v-2_6,repope,proxy_anchor,0.25,20260506,1529,128,0.9006696334341854,606.7722299537816
minicpm-v-2_6,pope,proxy_anchor,0.25,20260506,1582,128,0.8979007772393,589.383891704586
minicpm-v-2_6,dash-b,proxy_anchor,0.25,20260506,394,128,0.9782764671324564,2891.976915947969
minicpm-v-2_6,repope,proxy_anchor,0.25,20260507,1529,128,0.9489230902314216,1211.5900421855297
minicpm-v-2_6,pope,proxy_anchor,0.25,20260507,1582,128,0.9467630764746473,1161.109686819795
minicpm-v-2_6,dash-b,proxy_anchor,0.25,20260507,394,128,0.9854933400978786,4346.30335279566
minicpm-v-2_6,repope,proxy_anchor,0.25,20260508,1529,128,0.9098151936260288,671.7702584874605
minicpm-v-2_6,pope,proxy_anchor,0.25,20260508,1582,128,0.9010799084928823,609.4312933302411
minicpm-v-2_6,dash-b,proxy_anchor,0.25,20260508,394,128,0.9436228142576076,1094.6148141176304
gemma-3-12b-it,repope,proxy_anchor,1.0,20260506,1443,128,0.7703820146909132,241.44869858154848
gemma-3-12b-it,pope,proxy_anchor,1.0,20260506,1543,128,0.7646597931516567,234.60253412997253
gemma-3-12b-it,dash-b,proxy_anchor,1.0,20260506,326,128,0.9177239792219611,739.5978636101886
gemma-3-12b-it,repope,proxy_anchor,1.0,20260507,1443,128,0.9463411953534847,1151.7242024183147
gemma-3-12b-it,pope,proxy_anchor,1.0,20260507,1543,128,0.9360013540787854,960.3449301502702
gemma-3-12b-it,dash-b,proxy_anchor,1.0,20260507,326,128,0.9634970005107361,1708.2063110942108
gemma-3-12b-it,repope,proxy_anchor,1.0,20260508,1443,128,0.8915188126636566,552.6755630481217
gemma-3-12b-it,pope,proxy_anchor,1.0,20260508,1543,128,0.8827313562293543,508.6468599779585
gemma-3-12b-it,dash-b,proxy_anchor,1.0,20260508,326,128,0.9499147452337426,1236.222603390107
gemma-3-12b-it,repope,proxy_anchor,0.5,20260506,1443,128,0.898791692891905,594.8753247774824
gemma-3-12b-it,pope,proxy_anchor,0.5,20260506,1543,128,0.8841594022059419,515.3491883280825
gemma-3-12b-it,dash-b,proxy_anchor,0.5,20260506,326,128,0.943509435776234,1092.3521878791607
gemma-3-12b-it,repope,proxy_anchor,0.5,20260507,1443,128,0.9617419492501026,1628.3739238203123
gemma-3-12b-it,pope,proxy_anchor,0.5,20260507,1543,128,0.9552744163876525,1388.2480789779602
gemma-3-12b-it,dash-b,proxy_anchor,0.5,20260507,326,128,0.9714519067717061,2193.0783699940575
gemma-3-12b-it,repope,proxy_anchor,0.5,20260508,1443,128,0.9240377887161941,803.8624908071146
gemma-3-12b-it,pope,proxy_anchor,0.5,20260508,1543,128,0.9140756368532955,706.7608547916874
gemma-3-12b-it,dash-b,proxy_anchor,0.5,20260508,326,128,0.9531151442760599,1322.8228515824048
gemma-3-12b-it,repope,proxy_anchor,0.25,20260506,1443,128,0.9349731027080677,944.6369684449951
gemma-3-12b-it,pope,proxy_anchor,0.25,20260506,1543,128,0.9173945621213376,736.5140627097827
gemma-3-12b-it,dash-b,proxy_anchor,0.25,20260506,326,128,0.9722431917608623,2256.502415304017
gemma-3-12b-it,repope,proxy_anchor,0.25,20260507,1443,128,0.9222264103338836,784.3601524524097
gemma-3-12b-it,pope,proxy_anchor,0.25,20260507,1543,128,0.9073682620766549,653.125610033881
gemma-3-12b-it,dash-b,proxy_anchor,0.25,20260507,326,128,0.9697578029120548,2068.4474619145562
gemma-3-12b-it,repope,proxy_anchor,0.25,20260508,1443,128,0.959107273839637,1521.3897867920225
gemma-3-12b-it,pope,proxy_anchor,0.25,20260508,1543,128,0.9533896408300873,1330.803886590376
gemma-3-12b-it,dash-b,proxy_anchor,0.25,20260508,326,128,0.9720563262708558,2241.20064405149
gemma-3-12b-it,repope,proxy_anchor,0.1,20260506,1443,128,0.9819222850670722,3481.554409070716
gemma-3-12b-it,pope,proxy_anchor,0.1,20260506,1543,128,0.9787058700725825,2950.9295027900052
