model_alias,status,negative_budget_ratio,repope_knn_pr_auc_mean,repope_knn_pr_auc_std,repope_knn_pr_auc_min,repope_knn_pr_auc_max,num_seeds,reason
gemma-4-12b-it,missing_or_skipped,0.25,,,,,0,
gemma-4-12b-it,missing_or_skipped,0.1,,,,,0,
qwen3.5-4b,evaluated,1.0,0.17587561002352073,0.0800071454014163,0.0650070369005068,0.2508760559724813,3,
qwen3.5-4b,evaluated,0.5,0.19417695611833663,0.039975353061123306,0.14564599347356072,0.24355423799585632,3,
qwen3.5-4b,evaluated,0.25,0.2101151244791887,0.14227512207529316,0.022711434099095238,0.3672457341712412,3,
qwen3.5-4b,missing_or_skipped,0.1,,,,,0,
qwen3.5-9b,evaluated,1.0,0.20811921067656317,0.031058964359078158,0.17535652226434903,0.24983716054702193,3,
qwen3.5-9b,evaluated,0.5,0.16074001897408788,0.04345186016096839,0.10937874706302211,0.2156372775600807,3,
qwen3.5-9b,evaluated,0.25,0.17678600659617025,0.07247474936743646,0.12416503835605858,0.2792683964289885,3,
qwen3.5-9b,missing_or_skipped,0.1,,,,,0,
phi-4-multimodal-instruct,evaluated,1.0,0.4006555531388359,0.016707208828486808,0.3770284336407661,0.4125942465202326,3,
phi-4-multimodal-instruct,evaluated,0.5,0.34384114186359965,0.037214957398485356,0.2912147157386645,0.37067783963852075,3,
phi-4-multimodal-instruct,evaluated,0.25,0.24657876422723138,0.061844798374457104,0.16034290408640267,0.30233397835294995,3,
phi-4-multimodal-instruct,missing_or_skipped,0.1,,,,,0,
phi-3.5-vision-instruct,evaluated,1.0,0.4778561347004153,0.027234253806723754,0.4445867775713527,0.5112961480660667,3,
phi-3.5-vision-instruct,evaluated,0.5,0.4502660598550876,0.026472945835175576,0.42240596236362116,0.4858545138424978,3,
phi-3.5-vision-instruct,evaluated,0.25,0.32586451489629176,0.014806630254851278,0.3058532960877634,0.3412103294093244,3,
phi-3.5-vision-instruct,missing_or_skipped,0.1,,,,,0,
gemma-3-4b-it,evaluated,1.0,0.48121721838010023,0.04173102884116936,0.4257156853544536,0.526343341754469,3,
gemma-3-4b-it,evaluated,0.5,0.5152952948202077,0.016841264347372584,0.4914842685289438,0.5276682985482851,3,
gemma-3-4b-it,evaluated,0.25,0.5469651339315863,0.033217801697732835,0.5209144365952647,0.5938453847656577,3,
gemma-3-4b-it,evaluated,0.1,0.5603706429975754,0.011584603660527576,0.54488561485583,0.5727461896114244,3,
molmo-7b-d-0924,evaluated,1.0,0.2961173477240814,0.06027771692153467,0.21248645689245169,0.35223350326002767,3,
molmo-7b-d-0924,evaluated,0.5,0.24706161275323546,0.14473185606096212,0.04307358828947867,0.3636374508243873,3,
molmo-7b-d-0924,evaluated,0.25,0.34662670607615215,0.09446954947926343,0.2451290381172679,0.47261124446117264,3,
molmo-7b-d-0924,evaluated,0.1,0.36641558043762185,0.037317358539258834,0.33847055490233036,0.4191590170193234,3,
minicpm-v-4_5,evaluated,1.0,0.4162203416058221,0.02366341660948336,0.39476011794800014,0.44918848457213717,3,
minicpm-v-4_5,evaluated,0.5,0.23997677456860086,0.12373163357499403,0.06881617081924535,0.35705805283801867,3,
minicpm-v-4_5,evaluated,0.25,0.272185737922569,0.08463553931620287,0.19701293503436615,0.39043532212352255,3,
minicpm-v-4_5,missing_or_skipped,0.1,,,,,0,
llava-v1.5-7b,evaluated,1.0,0.22491872984065062,0.011544977002396786,0.21308760069132793,0.24057842230177984,3,
llava-v1.5-7b,evaluated,0.5,0.32754313965363785,0.12113075646992248,0.17299065102197125,0.4688048232332789,3,
llava-v1.5-7b,evaluated,0.25,0.4265383250356054,0.12903521764125508,0.2567490137001468,0.5693451849850069,3,
llava-v1.5-7b,evaluated,0.1,0.3175159559780291,0.17801080421113077,0.06788398101838808,0.47052196708593746,3,
